Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0123,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260377.1_1.fastq.gz,s3://mybucket23443243SRR18260377.1_2.fastq.gz
vp_0124,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260378.1_1.fastq.gz,s3://mybucket23443243SRR18260378.1_2.fastq.gz
vp_0125,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260379.1_1.fastq.gz,s3://mybucket23443243SRR18260379.1_2.fastq.gz
vp_0126,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260380.1_1.fastq.gz,s3://mybucket23443243SRR18260380.1_2.fastq.gz
vp_0127,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260381.1_1.fastq.gz,s3://mybucket23443243SRR18260381.1_2.fastq.gz
vp_0128,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260382.1_1.fastq.gz,s3://mybucket23443243SRR18260382.1_2.fastq.gz
vp_0129,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260383.1_1.fastq.gz,s3://mybucket23443243SRR18260383.1_2.fastq.gz
vp_0130,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260384.1_1.fastq.gz,s3://mybucket23443243SRR18260384.1_2.fastq.gz
vp_0131,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18260385.1_1.fastq.gz,s3://mybucket23443243SRR18260385.1_2.fastq.gz
vp_0132,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18767583.1_1.fastq.gz,s3://mybucket23443243SRR18767583.1_2.fastq.gz
vp_0133,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18767584.1_1.fastq.gz,s3://mybucket23443243SRR18767584.1_2.fastq.gz
vp_0134,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779884.1_1.fastq.gz,s3://mybucket23443243SRR18779884.1_2.fastq.gz
vp_0135,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779885.1_1.fastq.gz,s3://mybucket23443243SRR18779885.1_2.fastq.gz
vp_0136,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779886.1_1.fastq.gz,s3://mybucket23443243SRR18779886.1_2.fastq.gz
vp_0137,PAIRED,ILLUMINA,,s3://mybucket23443243SRR18779887.1_1.fastq.gz,s3://mybucket23443243SRR18779887.1_2.fastq.gz
